name,cuisines,rate,approx_cost(for two people),votes
Foodzoo,"North Indian, Chinese, Street Food",3.7,300.0,122
Manashi Paratha & Pav Bhaji,"Fast Food, North Indian",0.0,200.0,0
Slurpy Shakes,Beverages,0.0,300.0,0
Desi Chopstick,North Indian,3.8,400.0,37
Eat N Drinks,"Kerala, Beverages",3.4,150.0,7
Tanu Di's Kitchen,"North Indian, South Indian, Bengali",0.0,350.0,0
Punjabi Chulha,North Indian,3.8,400.0,38
The Humble Pie,"Desserts, Bakery",3.9,200.0,34
House Of Wholewheat,"Bakery, Desserts",3.1,200.0,6
The Food Factory,"North Indian, Chinese",2.7,450.0,42
Gulp The Pulp,"Beverages, Juices, Healthy Food",3.7,200.0,19
Jagan's Hotel,"South Indian, North Indian",0.0,200.0,0
Lazeez,"North Indian, Mughlai, Biryani",2.4,600.0,318
The Rendezvous,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",3.7,800.0,483
Kabab Magic,"North Indian, Kebab, Fast Food",2.9,500.0,317
Swathi Spice n Ice,"Andhra, North Indian, Chinese",3.5,700.0,165
Aaranya Restaurant,"North Indian, Chinese, Mughlai",3.4,800.0,212
Southinn,"South Indian, Fast Food, Chinese, North Indian, Street Food",3.8,250.0,190
Sri Vasavi Restaurant,"Chinese, Biryani",3.6,250.0,30
Butter Side Up,"Desserts, Bakery",4.1,600.0,111
Cream Stone,"Desserts, Beverages",4.2,500.0,1022
Punjabi Times,North Indian,4.1,1100.0,1694
Melange - Hotel Ekaa,"North Indian, Chinese, Continental, Mangalorean",3.2,900.0,426
Abbabi Chicken,Fast Food,3.8,200.0,133
Mishmash,"Mediterranean, Continental, North Indian, Mughlai, Salad",3.9,1400.0,1245
Raichur Biryani House,"Biryani, North Indian, Chinese",3.8,400.0,283
Punjabi Tadka,"North Indian, Chinese",2.8,400.0,188
Juice Junction Food Court,"Juices, South Indian, Chinese, Fast Food",3.8,200.0,211
Dragon's Kitchen,Chinese,3.1,500.0,248
Zayakedar,North Indian,4.0,250.0,251
Pingara,"North Indian, Chinese, Mangalorean",3.8,550.0,93
Sichuan,"Chinese, Asian, Seafood",4.0,800.0,492
Lucknowiz,"Lucknowi, Chinese",3.5,500.0,323
Kabab Mandra,"North Indian, Chinese, Rolls",2.9,300.0,243
Dande's Hyderabad Biryani,"Biryani, North Indian, Chinese",3.0,550.0,255
Gusto's Pizza,"Pizza, Italian",3.0,500.0,289
Families Food Court,"North Indian, Chinese, Biryani, Rolls",3.9,400.0,261
Tasty Treat,"North Indian, Chinese, Biryani, Rolls",3.1,400.0,131
Oogway express,"Chinese, Thai, Momos",3.4,600.0,9
Hotel Tadaka House,"North Indian, Chinese, Biryani",3.4,300.0,7
Half & Half Food Box,"North Indian, Chinese, Biryani",3.1,500.0,14
Dabba Karkhana,North Indian,3.5,300.0,17
Samosa Express,Street Food,3.6,150.0,23
Azimmo Treat,"North Indian, Chinese",3.8,700.0,41
Grow Fit,"Healthy Food, North Indian, Thai",3.8,500.0,36
Stark Bistro,"Continental, North Indian, Chinese, Burger, Pizza, Salad",3.6,850.0,30
Sethi's,"North Indian, Chinese, BBQ",0.0,600.0,0
Food Singh,North Indian,0.0,500.0,0
New Punjabi Pure Veg Restaurant,North Indian,3.5,300.0,10
Biryani Darbar,"Biryani, Chinese",3.3,600.0,12
Godavari Delights,South Indian,3.0,400.0,11
Meal & Biryani,"Andhra, South Indian",3.6,450.0,20
Sri Udupi Park,"South Indian, North Indian, Chinese, Beverages",4.0,300.0,64
Paratha Darbar,North Indian,3.5,400.0,14
Calvin's,Desserts,3.8,800.0,22
Yang Ming,Chinese,0.0,400.0,0
Lassi Magic,"Beverages, Ice Cream",0.0,200.0,0
Moriz Restaurant,"Arabian, North Indian, Seafood, Chinese, Biryani",2.6,800.0,76
Delhi Food Factory,North Indian,0.0,500.0,0
Ministry of Burger,Continental,0.0,500.0,0
Desi Chulha,North Indian,3.7,250.0,19
Wat-a-Biryani,Biryani,0.0,500.0,0
Ustaad Biryani,Biryani,3.2,500.0,5
Chination,Chinese,0.0,600.0,0
KafeKombos,"North Indian, South Indian, Oriya",3.5,300.0,16
Xpress Dhaba,North Indian,0.0,400.0,0
Parathe Ghar Ke,North Indian,3.2,300.0,4
Sri Vishnu Grand & Garden Restaurant,"South Indian, North Indian, Fast Food",3.8,500.0,8
Bajji House,Street Food,3.5,100.0,7
FreshBakes,"Bakery, Desserts",0.0,350.0,0
The Modak,"North Indian, Street Food, Desserts, Chinese",3.6,400.0,19
Wings Mama,"American, Fast Food",0.0,300.0,0
Lucky's Biriyani Point,"Biryani, South Indian, North Indian, Fast Food",3.4,400.0,9
Midnight Joe's,"Burger, Fast Food, Finger Food",0.0,300.0,0
Masale Daan,North Indian,3.3,350.0,5
Anika's India Kitchen,"Biryani, North Indian",3.3,250.0,5
Abhiruchi Moonlight,North Indian,3.3,300.0,4
Bottle Genie,Beverages,0.0,350.0,0
Karachi Bakery,"Bakery, Desserts",3.7,400.0,16
Wok And Rolls,"Chinese, Thai",0.0,300.0,0
Chef Genie,"Biryani, Fast Food",0.0,500.0,0
Ajwa Thalassery Biryani,"Biryani, South Indian",3.9,500.0,43
Punjabi Chulla,North Indian,3.3,300.0,10
The Fiery Indian Kitchen,North Indian,0.0,650.0,0
Hottey Smokey,"Asian, Salad, Italian",0.0,400.0,0
The Duke of Juices,"Juices, Beverages, Salad",2.8,200.0,5
AutoExpress - Hot Dogs,Fast Food,3.3,300.0,5
Nutri Fit,Healthy Food,3.4,300.0,5
Indian Desi Momo,Momos,0.0,200.0,0
Mr. Cane,Juices,0.0,100.0,0
New Kabab Zone,"North Indian, Fast Food",3.4,500.0,13
Loukya Veg Restaurant,"North Indian, South Indian, Chinese",0.0,300.0,0
Gourmet Food Truck,Chinese,3.8,200.0,17
Cafe Talkhouse,North Indian,3.8,0.0,23
Shree Mahalakshmi Sweets,"Mithai, Street Food",3.3,100.0,10
Orchard Fresh,Ice Cream,0.0,150.0,0
Pavan Tiffin Center,South Indian,3.3,300.0,8
The Kitchen,North Indian,3.6,300.0,9
New Andhra Spicy,"North Indian, Chinese, Andhra, South Indian, Biryani",3.6,200.0,11
Masale Daan,North Indian,0.0,350.0,0
Yo! Thali,"North Indian, South Indian, Chinese",3.5,400.0,4
Zodiac Grills,"North Indian, Chinese",3.2,500.0,4
Ultra Biriyani Paradise,Biryani,3.2,300.0,4
Aao G Khao G,"North Indian, Chinese",3.5,200.0,11
Nuty,"North Indian, Biryani",0.0,300.0,0
Sri Ganesh Juice Junction,"Fast Food, Juices",0.0,200.0,0
Bewiched,"Fast Food, Sandwich, Burger",3.4,300.0,10
Public Cafe,Continental,0.0,700.0,0
Lost in Pizza,"Pizza, Fast Food",3.1,600.0,4
Cheesy Juicy Burgers,"Burger, Fast Food",3.8,500.0,18
Kakatiya's,"South Indian, Biryani",3.1,250.0,6
Sri Vishnu Garden Family Bar & Restaurant,"North Indian, South Indian, Chinese, Hyderabadi",0.0,700.0,0
Lassi & More,Juices,0.0,150.0,0
Hello Brother Hotel,"North Indian, Chinese",3.4,300.0,6
Dilli6 Paratha,"North Indian, Chinese",3.0,200.0,4
Charcoal Eats,"Mughlai, Biryani, Fast Food",4.0,500.0,54
Cake Fantasy,"Desserts, Bakery",0.0,300.0,0
Make It Roll,"Rolls, Salad, Sandwich",3.8,400.0,33
Classic Biryani Hut,"Biryani, Fast Food",3.4,300.0,10
Hangouts @ Kashish Caterers,"Biryani, Kebab",3.4,400.0,10
Aata's Kitchen,"South Indian, North Indian",0.0,250.0,0
The Shawarma Shop,Arabian,0.0,250.0,0
Biryani Rooh-e-Khaas,"Biryani, Mughlai",0.0,500.0,0
Punjabi Unplugged,North Indian,0.0,500.0,0
Akshaya Bar And Restaurant,"North Indian, South Indian, Chinese, Fast Food",0.0,600.0,0
YUNCHI,North Indian,0.0,300.0,0
Xung Fu,"Asian, Chinese",0.0,350.0,0
Artinci Artisanal Ice Cream,"Ice Cream, Desserts",3.5,300.0,7
Tanoor Tandoori,"North Indian, Mughlai, Chinese, Kebab, Biryani",0.0,550.0,0
Artinci Artisanal Ice Cream,"Ice Cream, Desserts",0.0,300.0,0
Waffle In The Box,Desserts,0.0,300.0,0
Chai Point,"Tea, Beverages, Fast Food",0.0,250.0,0
Harilal ka Bihari Dhaba,"North Indian, Bihari",0.0,250.0,0
Homelicious Food,North Indian,0.0,200.0,0
Frosty Fills,"Desserts, Ice Cream",0.0,250.0,0
Wimpie Cafe & Restaurant,"North Indian, Mughlai, Biryani",0.0,600.0,0
Shake The Shake,Juices,0.0,200.0,0
Udupi Savi Thindi,"South Indian, North Indian, Chinese",3.5,300.0,15
Matka,"North Indian, Biryani",3.5,700.0,27
Sharma's Malai & Masala,North Indian,4.0,550.0,457
Bonfooder,North Indian,3.9,400.0,36
Kadavu Shappu Currys,Kerala,3.3,400.0,50
New Gongura Grand,"Andhra, Biryani, North Indian, Chinese",3.9,550.0,368
Thalassery Restaurant,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",3.5,600.0,694
Melting Melodies,"Bakery, Desserts",0.0,600.0,0
Tarbouche,"Turkish, Rolls",0.0,300.0,0
WOW! Momo,"Tibetan, Momos",0.0,400.0,0
A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.8,400.0,484
The Beer Cafe,"Finger Food, Chinese, Italian, Burger",4.2,1300.0,1170
Sri Krishna Sagar,"South Indian, North Indian, Chinese, Street Food, Juices",3.5,400.0,234
Tea Trails,"North Indian, Tea, Fast Food",0.0,600.0,0
Navya Foods,"North Indian, Fast Food",3.4,300.0,7
Bonum cibum,"Lebanese, Turkish",4.5,1200.0,196
Tetto,Continental,3.7,1200.0,130
Under The Hood,"Salad, Healthy Food, Street Food",4.0,300.0,76
Madurai Veg Kitchen,"North Indian, Chinese, South Indian",0.0,200.0,0
Birinz,"Biryani, Kebab, Fast Food",4.2,400.0,78
Take EAT Easy,North Indian,3.6,200.0,20
Feastaurant,"Bengali, Chinese",3.7,800.0,27
Khaja Military Hotel,"Biryani, Fast Food, South Indian",0.0,400.0,0
MAP- My Appetite Place,"North Indian, Italian, Chinese",3.8,600.0,29
Snakk That,"Burger, Beverages, Fast Food",3.9,250.0,54
Bistro Claytopia,"Cafe, American, Italian, Burger",4.1,600.0,1847
The Waffle Street,"Continental, Beverages, Burger, Coffee, Desserts",3.9,300.0,46
The Spice Factory,"North Indian, Mughlai, Chinese",3.1,550.0,29
Mustard Cafe,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",4.1,800.0,888
Grigliato,"Italian, Chinese, Continental, Steak",3.9,1000.0,716
Mighty Paws,Cafe,4.0,500.0,136
Baithak,"Continental, North Indian, Mughlai",4.2,1100.0,1383
Pulp Juice Bar,"Beverages, Juices, Ice Cream",3.6,150.0,16
Chaat Street,"Street Food, North Indian",3.8,250.0,192
Grapevine,"Cafe, Continental, Italian, Beverages, Mediterranean",4.1,1200.0,733
Krispy Kreme,"Desserts, Beverages",3.9,300.0,150
Pasta Street,"Italian, Pizza, Salad",4.5,1300.0,247
The Chocolate Room,"Cafe, Bakery, Fast Food, Desserts",3.9,600.0,205
Mimansa @ Foxtrot,Cafe,4.4,1000.0,190
Bangalore Cafe,"South Indian, Fast Food",3.7,400.0,197
Swathi Restaurant,"Andhra, North Indian, Chinese",0.0,400.0,0
Wow Kitchen Punjabi Taste,North Indian,0.0,200.0,0
Leon Grill,"Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",4.3,450.0,1099
Waffle Stories,"Desserts, Beverages",0.0,300.0,0
Maia - Eat | Bake | Mom,"Continental, North Indian, Beverages",4.2,1200.0,1004
Rusbury Fresh Sweets And Savouries,"Mithai, Street Food",3.9,200.0,70
Andhra Paris,Andhra,3.2,250.0,5
Bangaliana,Bengali,3.7,600.0,310
Balle-Licious Kitchen,North Indian,3.9,400.0,170
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,"Cafe, Continental, Pizza, Salad",4.3,700.0,1101
The Egg Factory,"Continental, American",4.0,750.0,136
The Rasoiya Street,"North Indian, Continental, Mediterranean, Chinese",4.1,800.0,1324
The Meal Story,"North Indian, Street Food",4.2,700.0,258
Manchow,"Chinese, Asian, Momos",3.8,600.0,157
The Yogisthaan Cafe,"Cafe, Healthy Food, Salad, Beverages",4.1,600.0,60
Mumbai Tiffin,North Indian,4.4,400.0,1288
Purnabramha Maharashtrian Restaurant,Maharashtrian,3.7,850.0,829
My Tea House,"Continental, Asian",0.0,800.0,0
Habibi Falafel,"Lebanese, Middle Eastern",4.3,300.0,219
Seven Ate Nine,"North Indian, Steak, South Indian",0.0,700.0,0
Zee5 Loft,"Cafe, Burger, Pizza, Sandwich",4.4,700.0,792
Hanoi - Vietnamese Cuisine,Vietnamese,4.4,1000.0,1799
SGS Non Veg - Gundu Pulav,South Indian,3.7,300.0,9
The Waffles Hut,Desserts,4.1,400.0,163
Pazzo,"American, Modern Indian, Italian, South Indian",4.3,700.0,372
Momos Corner,"Chinese, Rolls, Momos",3.1,250.0,15
Donne Biriyani House,"Biryani, South Indian",3.2,400.0,73
Mirch,"North Indian, Biryani",3.7,400.0,94
Mak n Vak - Fyn,"North Indian, Chinese",3.9,500.0,337
Bathinda Junction,North Indian,4.0,600.0,535
The Vape,"Asian, Beverages",4.0,800.0,603
Delitz Creamvilla Cafe,"Cafe, Desserts, Ice Cream",4.0,600.0,74
Bathinda Dine,North Indian,4.0,950.0,236
Xtreme Sports Bar,"Continental, Chinese, North Indian",4.0,1300.0,942
The Grub Central,"Cafe, Italian, Continental",4.0,700.0,803
Roots,"North Indian, South Indian, Chinese, Continental, Mangalorean",4.5,1200.0,1878
The Flying Cup,"Beverages, Fast Food, Tea",4.2,150.0,236
Kadala Teera,"Seafood, South Indian",3.8,600.0,46
Wangs Kitchen,Chinese,2.4,1000.0,438
Cilantro,"European, American, Continental, North Indian, Steak",4.0,1500.0,281
Shift,"Finger Food, Continental, North Indian",4.2,1500.0,1884
Cinnamon,"North Indian, Chinese, Biryani",3.9,550.0,450
Me And My Cake,"Bakery, Desserts",3.2,500.0,4
Tangerine - Davanam Sarovar Portico Suites,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",4.0,1100.0,150
Parivaar Eat House,"North Indian, Biryani",0.0,500.0,0
Sumai Foods,"North Indian, Chinese, Fast Food",3.2,350.0,4
9 Bowls,"Healthy Food, Continental, North Indian, Chinese",0.0,500.0,0
Moonlights Kitchens,"North Indian, Chinese",0.0,400.0,0
Night Panda,"Fast Food, Chinese, North Indian, American",3.8,500.0,196
Aamaravathi Biryani Zone,Biryani,0.0,300.0,0
The Hyderbadi Chefs,"South Indian, North Indian, Chinese",3.4,400.0,4
Krutunga Restaurant,"Chinese, North Indian, South Indian",3.4,700.0,20
Wedding Biryani,"Biryani, Kebab",0.0,600.0,0
Hungry Monster,"Biryani, Chinese, North Indian",0.0,300.0,0
Tea Villa Cafe,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",4.2,800.0,860
Onesta,"Pizza, Cafe, Italian",4.4,600.0,3764
Cakewala,"Bakery, Desserts",4.3,500.0,229
Amour Fine Patisserie,"Cafe, Desserts, Continental",4.0,500.0,82
Corner House Ice Cream,"Ice Cream, Desserts",4.4,400.0,790
Amma's Pastries,Bakery,4.1,400.0,146
Third Wave Coffee Roasters,"Cafe, Continental",4.2,800.0,141
XO Belgian Waffle,"Desserts, Beverages",4.5,400.0,144
Caffe Pascucci,"Cafe, Continental, Pizza, Italian, Beverages",4.1,950.0,720
Apsara Ice Cream,"Ice Cream, Desserts",4.5,200.0,194
The Belgian Waffle Co.,"Desserts, Beverages",4.1,350.0,130
Kanti Sweets,"Mithai, Street Food",3.8,400.0,151
Polar Bear,"Ice Cream, Desserts, Beverages, Sandwich",4.0,400.0,221
The Waffle Street,"Continental, Beverages, Burger, Coffee, Desserts",3.9,300.0,46
Cake Cafe,"Bakery, Desserts",4.0,300.0,158
Bubble Bee,"Beverages, Bubble Tea, Desserts",3.9,400.0,46
Ibaco,Desserts,4.0,300.0,59
Kawaii,"Desserts, Ice Cream",3.8,500.0,139
The Chocolate Room,"Cafe, Bakery, Fast Food, Desserts",3.9,600.0,205
Shubh Sweets,"Street Food, Mithai, Momos",3.9,400.0,331
House Stark Cafe,"Cafe, Desserts, Fast Food, Burger",3.9,300.0,44
The Waffles Hut,Desserts,4.1,400.0,163
Thanco's Natural Ice Cream,"Ice Cream, Desserts",3.9,450.0,102
Amrutha Sweets,"Street Food, Mithai",4.1,200.0,116
NutBerry,"Beverages, Desserts, Fast Food",3.7,150.0,34
IceBreakers,"Desserts, Ice Cream",3.6,400.0,8
L J Iyengar Bakery,Bakery,3.9,100.0,53
Cupcake Noggins,"Desserts, Bakery",4.1,300.0,106
Chef Baker's,"Continental, Cafe, Desserts, Italian, Bakery",3.8,600.0,204
Kwality Cakes N Bakes,"Bakery, Desserts",3.7,350.0,93
Pabrai's Fresh & Naturelle Icecreams,"Ice Cream, Desserts",4.3,180.0,324
Cream Stone,"Desserts, Beverages",4.2,500.0,1022
Shree Mahalakshmi Sweets,"Mithai, Street Food",3.3,100.0,10
Mr. Meetharam,"Mithai, Street Food",2.8,150.0,75
The Humble Pie,"Desserts, Bakery",3.9,200.0,34
Waffle Stories,"Desserts, Beverages",0.0,300.0,0
Cream Chemistry,"Ice Cream, Desserts",3.9,500.0,75
Popular Bakery,"Desserts, Bakery",3.7,600.0,36
Just Bake,"Bakery, Desserts",3.6,400.0,154
The Open Cafe,"Cafe, Chinese, Continental",3.7,500.0,15
Calvin's,Desserts,3.8,800.0,22
KC Das - Sweet Corner,"Mithai, Street Food",2.9,200.0,46
Paanwadi,"Desserts, Paan",3.3,100.0,6
Food Theory,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",2.6,500.0,56
The Wicked Cup,"Cafe, Sandwich, Fast Food, Beverages, Desserts",3.9,350.0,56
Baskin Robbins,"Ice Cream, Desserts",3.7,250.0,42
Juice Shop,"Juices, Beverages, Ice Cream",3.7,150.0,15
Warm Oven,"Bakery, Desserts",4.0,500.0,153
Mumbai Kulfi,Ice Cream,4.0,100.0,92
Havmor - Hav Funn,Ice Cream,3.3,300.0,6
56 Bhoga Sweets,"Mithai, Street Food",3.6,150.0,51
Dhaba Express,"Biryani, Fast Food, North Indian, Chinese",3.7,400.0,175
Fritz Haber,"Ice Cream, Desserts",4.1,450.0,398
Artinci Artisanal Ice Cream,"Ice Cream, Desserts",3.5,300.0,7
Sweet Chariot,"Bakery, Fast Food",3.5,500.0,50
Maruti Sweets,"Mithai, Street Food",0.0,150.0,0
Intriicake,"Bakery, Desserts, Italian, North Indian, Fast Food",3.8,350.0,34
Tempteys,Beverages,3.7,500.0,39
Patville,Desserts,4.0,300.0,104
Kairos,"Cafe, Italian, European",3.8,1000.0,63
The Sweet Paisley,"Desserts, Bakery",0.0,300.0,0
Sofiya Cakes,"Bakery, Desserts",0.0,300.0,0
Waffle Secrets,Desserts,0.0,200.0,0
Sweet Truth,"Bakery, Desserts",4.0,500.0,48
The French Loaf,"Bakery, Desserts, Sandwich",3.1,400.0,15
The Duke of Juices,"Juices, Beverages, Salad",2.8,200.0,5
Shree Mithai,"Desserts, Street Food, Mithai",3.7,150.0,31
Fork n Dough,"Bakery, Fast Food",0.0,200.0,0
Cake of the Day,Bakery,0.0,150.0,0
Poojary Bakery And Sweets,"Bakery, Juices",0.0,200.0,0
Sree Balaji Sweets Shop,"Mithai, Street Food",0.0,250.0,0
NR Bakery,"Bakery, Juices, Coffee, Tea",0.0,150.0,0
Bombay Kulfis,Ice Cream,3.4,200.0,8
Kulfisthan,Ice Cream,3.4,150.0,5
Amul Ice Cream,"Desserts, Ice Cream",0.0,100.0,0
Waffle In The Box,Desserts,0.0,300.0,0
Havmor,Ice Cream,0.0,200.0,0
The Baker's,"Bakery, Fast Food",2.4,500.0,32
Carnival Cakes & Breads,"Bakery, Fast Food",3.5,200.0,49
Homemade Delite,"Bakery, Desserts",3.6,200.0,21
Cheesecake Alley,"Bakery, Desserts",3.1,400.0,8
Iyengar Cake Mane,"Bakery, Desserts",0.0,200.0,0
Insta Cakes,"Bakery, Sandwich, Juices",0.0,400.0,0
Mist n Creams,Ice Cream,3.9,400.0,38
Master Bake,Bakery,0.0,300.0,0
Ice Cream Buggy,Ice Cream,3.1,100.0,21
TGS Retails,"Bakery, Desserts",3.3,600.0,4
Goodness! Beverages,Beverages,0.0,250.0,0
Taste Me,Mithai,0.0,300.0,0
Igloo Shakez & Bytez,"Beverages, Fast Food, Desserts",3.1,300.0,7
Ella,Desserts,0.0,200.0,0
Madeleine,Bakery,0.0,400.0,0
Stoned Monkey,"Desserts, Ice Cream",3.9,500.0,230
Krispy Kreme,"Desserts, Beverages",3.9,300.0,150
Cake Dilim,"Bakery, Desserts",3.7,400.0,90
Keventers,"Desserts, Beverages, Ice Cream",3.6,400.0,11
Lassi Plaza,"Desserts, Beverages",0.0,100.0,0
CakeBox,"Bakery, Desserts",3.5,400.0,18
Bistro Claytopia,"Cafe, American, Italian, Burger",4.1,600.0,1847
Vegan Heat,"Healthy Food, Salad",4.1,650.0,314
eat.fit,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",4.5,500.0,634
Bakingo,"Bakery, Desserts",4.0,500.0,75
Spice It - Ibis Hotel,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",3.0,1200.0,74
Royal Bakes,Bakery,0.0,200.0,0
Desserts Tree,"Mithai, Desserts",3.8,100.0,86
Cafe Coffee Day,"Cafe, Fast Food",3.1,900.0,13
Papacream,"Desserts, Ice Cream",3.8,350.0,28
Sapna bakery,"Bakery, Kerala",0.0,250.0,0
Oven Fresh,"Bakery, Fast Food",0.0,600.0,0
Cake Menu,Bakery,3.2,400.0,11
Melting Melodies,"Bakery, Desserts",0.0,600.0,0
Sky Bakery and Cafe,"Bakery, Cafe",0.0,350.0,0
Me And My Cake,"Bakery, Desserts",3.2,500.0,4
Lulu Bakes & Sweets,Bakery,0.0,300.0,0
Still Sipping,"Cafe, Continental, Coffee",0.0,800.0,0
Amour Fine Patisserie,"Cafe, Desserts, Continental",4.0,500.0,82
Blk Plus Wht,"Asian, Thai, North Indian",4.3,800.0,116
Hammered,"North Indian, South Indian, Continental, Asian",0.0,1200.0,0
TBC Sky Lounge,"Continental, Asian, Italian, North Indian",4.7,1000.0,6745
Zee5 Loft,"Cafe, Burger, Pizza, Sandwich",4.4,700.0,792
Shift,"Finger Food, Continental, North Indian",4.2,1500.0,1884
Hangover,"Asian, Continental, Finger Food",4.3,1500.0,797
House Of Commons,"Continental, Asian, North Indian",4.7,1000.0,3573
Broadway - The Gourmet Theatre,"Japanese, North Indian, Italian, Korean, Mexican, Thai",4.2,1800.0,1149
Onesta,"Pizza, Cafe, Italian",4.4,600.0,3764
Vanilla Sky,"Chinese, Continental, North Indian, Finger Food",4.6,1200.0,766
Baar Union,"Continental, Finger Food, Asian, Chinese",4.6,850.0,634
Cirkus,"North Indian, Continental, Fast Food, Beverages, Pizza",4.3,1400.0,331
Bonum cibum,"Lebanese, Turkish",4.5,1200.0,196
Kitchen On Table,"BBQ, Chinese, Japanese, Asian",4.3,1000.0,790
Al Daaz,"North Indian, Continental, BBQ",4.2,550.0,583
Here & Now,"Cafe, American, Burger, Beverages",4.6,750.0,1582
Baithak,"Continental, North Indian, Mughlai",4.2,1100.0,1383
The Rasoiya Street,"North Indian, Continental, Mediterranean, Chinese",4.1,800.0,1324
Once Upon A Flame,"Steak, Continental, Burger, BBQ",4.5,1200.0,2069
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,"Cafe, Continental, Pizza, Salad",4.3,700.0,1101
Safe House,"Continental, North Indian, Chinese, Finger Food",4.1,900.0,1372
Indigo X II P,"Finger Food, Continental, Pizza, Asian, North Indian",0.0,1250.0,0
Moti Mahal Delux,"North Indian, Mughlai",4.0,1000.0,558
Aasife & Brothers Biriyani Centre,"Biryani, North Indian, South Indian, Chinese",3.9,600.0,125
Silbatti,North Indian,3.9,750.0,1554
The Colony Gastropub,"Modern Indian, Continental",4.1,1200.0,512
Kapoor's Cafe,North Indian,4.0,800.0,917
The Punjabi Rasoi,North Indian,4.0,800.0,1829
Hunger Swipe Restaurant,"North Indian, Chinese",0.0,700.0,0
Tandoori Club,"North Indian, Chinese, Continental",0.0,750.0,0
Beijing Bites,"Chinese, Thai",3.9,850.0,400
Pazzo,"American, Modern Indian, Italian, South Indian",4.3,700.0,372
Grapevine,"Cafe, Continental, Italian, Beverages, Mediterranean",4.1,1200.0,733
Seven Ate Nine,"North Indian, Steak, South Indian",0.0,700.0,0
Mughal Treat,"North Indian, Chinese, Mughlai",4.0,600.0,437
Third Wave Coffee Roasters,"Cafe, Continental",4.2,800.0,141
Purnabramha Maharashtrian Restaurant,Maharashtrian,3.7,850.0,829
Sangam Sweets,"Mithai, Street Food",3.9,200.0,148
HSR High Street,"Hyderabadi, North Indian, South Indian, Biryani",3.8,800.0,320
La Estranger Cafe,"Cafe, Burger, Sandwich, Beverages",3.8,500.0,47
Fish & Fries Restaurant,"Continental, Seafood, Bengali, Fast Food",4.0,750.0,648
Rashtrakutas,"South Indian, Biryani, North Indian",4.0,800.0,403
Caffe Pascucci,"Cafe, Continental, Pizza, Italian, Beverages",4.1,950.0,720
Howlin Wolf,"Italian, Mediterranean, European, Sandwich",4.1,700.0,93
Napoli Italian Bistro,"Italian, Mexican, Continental, Pizza",4.1,1200.0,1060
Kumarakom,"Kerala, Seafood, South Indian, North Indian, Chinese",3.8,600.0,1166
Zero Mile Punjab,"North Indian, Mughlai",4.1,800.0,1338
Ziyan's Cafe 27th,Kerala,4.0,300.0,61
Vintage Shack,"North Indian, Continental",3.9,900.0,161
Bathinda Junction,North Indian,4.0,600.0,535
Smally's Resto Cafe,"Cafe, Italian, Burger, American, Steak",4.0,650.0,128
Parika Multicuisine & Coastal Fine Dine,"Mangalorean, Seafood, North Indian, Chinese",3.9,1000.0,602
Helloo Delhi,North Indian,3.9,1000.0,880
Kanti Sweets,"Mithai, Street Food",3.8,400.0,151
New Gongura Grand,"Andhra, Biryani, North Indian, Chinese",3.9,550.0,368
Soup'ermanz Kitchen,"Cafe, Continental, Burger",4.1,750.0,439
Birinz,"Biryani, Kebab, Fast Food",4.2,400.0,78
The Vape,"Asian, Beverages",4.0,800.0,603
Mustard Food Court,"North Indian, Chinese",3.9,500.0,338
Punjabi Nawabi,North Indian,4.0,500.0,987
Sufra Restaurant,"North Indian, Chinese",3.7,800.0,112
90's,North Indian,0.0,200.0,0
Sichuan,"Chinese, Asian, Seafood",4.0,800.0,492
Grilliez,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",4.1,600.0,564
Shanmukha,"Biryani, Andhra, North Indian, Chinese",4.0,800.0,988
Gourmet Food Truck,Chinese,3.8,200.0,17
Mishmash,"Mediterranean, Continental, North Indian, Mughlai, Salad",3.9,1400.0,1245
Sunny Cafe & Kitchen,"Cafe, Continental, Beverages, Desserts",3.8,700.0,499
Petoo,"North Indian, Fast Food, Street Food",3.8,800.0,115
Kadal Da Meen,"Biryani, Seafood",3.9,900.0,117
The Grub Central,"Cafe, Italian, Continental",4.0,700.0,803
Empire Restaurant,"North Indian, Mughlai, South Indian, Chinese",3.9,750.0,3833
Nanda's,"North Indian, Chinese, Andhra",2.9,450.0,361
House Stark Cafe,"Cafe, Desserts, Fast Food, Burger",3.9,300.0,44
Matka,"North Indian, Biryani",3.5,700.0,27
Cafe Mondo,"Cafe, Italian, Pizza, Chinese",3.6,700.0,484
